state,abbr,district,headquarters,population,area,density,url
JK,BD,Badgam,Badgam,735753,1406,537,http://budgam.nic.in/
JK,DO,Doda,Doda,409576,11691,79,http://doda.gov.in/
JK,GB,Ganderbal,Ganderbal,297003,258,1151,http://ganderbal.nic.in/
JK,JA,Jammu,Jammu,1526406,3097,596,http://jammu.gov.in/
JK,KT,Kathua,Kathua,615711,2651,232,http://kathua.gov.in/
JK,KW,Kishtwar,Kishtwar,230696,7737,30,http://kishtwar.nic.in/
JK,KG,Kulgam,Kulgam,422786,457,925,http://kulgam.gov.in/
JK,KU,Kupwara,Kupwara,875564,2379,368,http://kupwara.gov.in/
JK,PO,Poonch,Poonch,476820,1674,285,http://poonch.gov.in/
JK,PU,Pulwama,Pulwama,570060,1398,598,http://pulwama.gov.in/
JK,RA,Rajouri,Rajouri,619266,2630,235,http://rajouri.nic.in/
JK,RB,Ramban,Ramban,283313,1330,213,http://ramban.gov.in/
JK,RS,Reasi,Reasi,314714,1710,184,http://reasi.gov.in/
JK,SB,Samba,Samba,318611,913,318,http://samba.gov.in/
JK,SH,Shopian,Shupiyan,265960,312,852,http://shopian.nic.in/
JK,SR,Srinagar,Srinagar,1269751,2228,703,http://srinagar.nic.in/
JK,UD,Udhampur,Udhampur,555357,4550,211,http://udhampur.gov.in/
JH,BO,Bokaro,Bokaro,2061918,2861,716,http://bokaro.nic.in/
JH,CH,Chatra,Chatra,1042304,3700,275,http://chatra.nic.in/
JH,DE,Deoghar,Deoghar,1491879,2479,602,
JH,DH,Dhanbad,Dhanbad,2682662,2075,1284,http://dhanbad.nic.in/
JH,DU,Dumka,Dumka,1321096,4404,300,http://dumka.nic.in/
JH,ES,East Singhbhum,Jamshedpur,2291032,3533,648,http://jamshedpur.nic.in/
JH,GA,Garhwa,Garhwa,1322387,4064,327,http://garhwa.nic.in/
JH,GI,Giridih,Giridih,2445203,4887,497,http://giridih.nic.in/
JH,GO,Godda,Godda,1311382,2110,622,http://godda.nic.in/
JH,GU,Gumla,Gumla,1025656,5327,193,http://gumla.nic.in/
JH,HA,Hazaribag,Hazaribag,1734005,4302,403,http://hazaribag.nic.in/
JH,JA,Jamtara,Jamtara,790207,1802,439,http://jamtara.nic.in/
JH,KH,Khunti,Khunti,530299,2467,215,http://khunti.nic.in/
JH,KO,Koderma,Koderma,717169,1312,427,http://koderma.nic.in/
JH,LA,Latehar,Latehar,725673,3630,200,http://latehar.nic.in/
JH,LO,Lohardaga,Lohardaga,461738,1494,310,http://lohardaga.nic.in/
JH,PK,Pakur,Pakur,899200,1805,498,http://pakur.nic.in/
JH,PL,Palamu,Daltonganj,1936319,5082,381,http://palamu.nic.in/
JH,RM,Ramgarh,Ramgarh,949159,1212,684,http://ramgarh.nic.in/
JH,RA,Ranchi,Ranchi,2912022,7974,557,http://ranchi.nic.in/
JH,SA,Sahibganj,Sahebganj,1150038,1599,719,http://sahibganj.nic.in/
JH,SK,Seraikela Kharsawan,Seraikela,1063458,2725,390,http://seraikela.nic.in/
JH,SI,Simdega,Simdega,599813,3750,160,http://simdega.nic.in/
JH,WS,West Singhbhum,Chaibasa,1501619,7186,209,http://chaibasa.nic.in/
KA,BK,Bagalkot,Bagalkot,1890826,6583,288,http://www.bagalkot.nic.in/
KA,BL,Ballari,Ballari,2532383,8439,300,http://www.bellary.nic.in/
KA,BG,Belagavi,Belagavi,4778439,13415,356,http://www.belgaum.nic.in/
KA,BR,Bengaluru Rural,Bengaluru,987257,2239,441,http://www.bangalorerural.nic.in/
KA,BLR,Bangalore,Bengaluru,9588910,2190,4378,http://bangaloreurban.nic.in/
KA,BD,Bidar,Bidar,1700018,5448,312,http://www.bidar.nic.in/
KA,CJ,Chamarajnagar,Chamarajanagar,1020962,5102,200,http://chamrajnagar.nic.in/
KA,CK,Chikkaballapur,Chikkaballapur,1254377,4208,298,http://www.chikballapur.nic.in/
KA,CK,Chikkamagaluru,Chikmagalur,1137753,7201,158,http://chickmagalur.nic.in/
KA,CT,Chitradurga,Chitradurga,1660378,8437,197,http://www.chitradurga.nic.in/
KA,DK,Dakshina Kannada,Mangaluru,2083625,4559,457,http://www.dk.nic.in/
KA,DA,Davanagere,Davangere,1946905,5926,329,http://www.davanagere.nic.in/
KA,DH,Dharwad,Dharwad,1846993,4265,434,http://www.dharwad.nic.in/
KA,GA,Gadag,Gadag-Betageri,1065235,4651,229,http://gadag.nic.in/
KA,HS,Hassan,Hassan,1776221,6814,261,http://www.hassan.nic.in/
KA,HV,Haveri,Haveri,1598506,4825,331,http://haveri.nic.in/
KA,GU,Kalaburagi,Kalaburagi,2564892,10990,233,http://www.gulbarga.nic.in/
KA,KD,Kodagu,Madikeri,554762,4102,135,http://www.kodagu.nic.in/
KA,KL,Kolar,Kolar,1540231,4012,384,http://kolar.nic.in/
KA,KP,Koppal,Koppal,1391292,5565,250,http://www.koppal.nic.in/
KA,MA,Mandya,Mandya,1808680,4961,365,http://www.mandya.nic.in/
KA,MY,Mysuru,Mysuru,2994744,6854,437,http://www.mysore.nic.in/
KA,RA,Raichur,Raichur,1924773,6839,228,http://www.raichur.nic.in/
KA,RM,Ramanagara,Ramanagara,1082739,3573,303,http://www.ramanagaracity.gov.in/[permanent dead link]
KA,SH,Shivamogga,Shivamogga,1755512,8495,207,http://www.shimoga.nic.in/
KA,TU,Tumakuru,Tumakuru,2681449,10598,253,http://www.tumkur.nic.in/
KA,UD,Udupi,Udupi,1177908,3879,304,http://udupi.nic.in/
KA,UK,Uttara Kannada,Karwar,1353299,10291,132,http://uttarakannada.nic.in/
KA,BJ,Vijayapura,Vijayapura,2175102,10517,207,http://www.bijapur.nic.in/
KA,YG,Yadgir,Yadgir,1172985,5225,224,http://www.yadgir.nic.in/
KL,AL,Alappuzha,Alappuzha,2121943,1414,Map,1501,http://www.alappuzha.nic.in/,
KL,ER,Ernakulam,Kakkanad,3279860,2951,Map,1069,http://ernakulam.nic.in/,
KL,ID,Idukki,Painavu,1107453,4479,Map,254,http://idukki.nic.in/,
KL,KN,Kannur,Kannur,2525637,2966,Map,852,http://kannur.nic.in/,
KL,KS,Kasaragod,Kasaragod,1302600,1992,Map,654,http://kasargod.nic.in/,
KL,KL,Kollam,Kollam,2629703,2498,Map,1056,http://kollam.nic.in/,
KL,KT,Kottayam,Kottayam,1979384,2203,Map,896,http://kottayam.nic.in/,
KL,KZ,Kozhikode,Kozhikode,3089543,2345,Map,1318,http://kozhikode.nic.in/,
KL,MA,Malappuram,Malappuram,4110956,3550,Map,1058,http://malappuram.nic.in/,
KL,PL,Palakkad,Palakkad,2810892,4480,Map,627,http://palakkad.nic.in/,
